"fecha","cotizacion"
30/09/2014,"13.43300"
01/10/2014,"13.44550"
02/10/2014,"13.40260"
03/10/2014,"13.48350"
06/10/2014,"13.40890"
07/10/2014,"13.43320"
08/10/2014,"13.47860"
09/10/2014,"13.37890"
10/10/2014,"13.43310"
13/10/2014,"13.42030"
14/10/2014,"13.40940"
15/10/2014,"13.54230"
16/10/2014,"13.56160"
17/10/2014,"13.52310"
20/10/2014,"13.53570"
21/10/2014,"13.49890"
22/10/2014,"13.55590"
23/10/2014,"13.52880"
24/10/2014,"13.52630"
27/10/2014,"13.57010"
28/10/2014,"13.48430"
29/10/2014,"13.42390"
30/10/2014,"13.43160"
31/10/2014,"13.47730"
03/11/2014,"13.55030"
04/11/2014,"13.59250"
05/11/2014,"13.60700"
06/11/2014,"13.61730"
07/11/2014,"13.55730"
10/11/2014,"13.55280"
11/11/2014,"13.58740"
12/11/2014,"13.56130"
13/11/2014,"13.59950"
14/11/2014,"13.53480"
18/11/2014,"13.54450"
19/11/2014,"13.61460"
20/11/2014,"13.61150"
21/11/2014,"13.61520"
24/11/2014,"13.63740"
25/11/2014,"13.64200"
26/11/2014,"13.72190"
27/11/2014,"13.76670"
28/11/2014,"13.89650"
01/12/2014,"13.92620"
02/12/2014,"14.07600"
03/12/2014,"14.09180"
04/12/2014,"14.11650"
05/12/2014,"14.30450"
08/12/2014,"14.40420"
09/12/2014,"14.36740"
10/12/2014,"14.51810"
11/12/2014,"14.66480"
15/12/2014,"14.78530"
16/12/2014,"14.74990"
17/12/2014,"14.60280"
18/12/2014,"14.55620"
19/12/2014,"14.63780"
22/12/2014,"14.63590"
23/12/2014,"14.70080"
24/12/2014,"14.74290"
26/12/2014,"14.69550"
29/12/2014,"14.71800"
30/12/2014,"14.73480"
31/12/2014,"14.74140"
02/01/2015,"14.82900"
05/01/2015,"14.94690"
06/01/2015,"14.84790"
07/01/2015,"14.79360"
08/01/2015,"14.62740"
09/01/2015,"14.58040"
12/01/2015,"14.63980"
13/01/2015,"14.55590"
14/01/2015,"14.56440"
15/01/2015,"14.58210"
16/01/2015,"14.62230"
19/01/2015,"14.65240"
20/01/2015,"14.64840"
21/01/2015,"14.69830"
22/01/2015,"14.61200"
23/01/2015,"14.64990"
26/01/2015,"14.58870"
27/01/2015,"14.58720"
28/01/2015,"14.68780"
29/01/2015,"14.84140"
30/01/2015,"14.98850"
03/02/2015,"14.75660"
04/02/2015,"14.80110"
05/02/2015,"14.75480"
06/02/2015,"14.90240"
09/02/2015,"14.80140"
10/02/2015,"14.93090"
11/02/2015,"15.10990"
12/02/2015,"14.91670"
13/02/2015,"14.86050"
16/02/2015,"14.89790"
17/02/2015,"14.89710"
18/02/2015,"14.94730"
19/02/2015,"14.95830"
20/02/2015,"15.07570"
23/02/2015,"15.08320"
24/02/2015,"14.97120"
25/02/2015,"14.92280"
26/02/2015,"14.96240"
27/02/2015,"14.95530"
02/03/2015,"14.98620"
03/03/2015,"14.95440"
04/03/2015,"15.07560"
05/03/2015,"15.16860"
06/03/2015,"15.44450"
09/03/2015,"15.45440"
10/03/2015,"15.58370"
11/03/2015,"15.44550"
12/03/2015,"15.40030"
13/03/2015,"15.48920"
17/03/2015,"15.42710"
18/03/2015,"15.41920"
19/03/2015,"15.29600"
20/03/2015,"15.03170"
23/03/2015,"14.96440"
24/03/2015,"14.93470"
25/03/2015,"14.95240"
26/03/2015,"15.10560"
27/03/2015,"15.15420"
30/03/2015,"15.24270"
31/03/2015,"15.26470"
01/04/2015,"15.12060"
06/04/2015,"14.80030"
07/04/2015,"14.90390"
08/04/2015,"14.90720"
09/04/2015,"15.05540"
10/04/2015,"15.17060"
13/04/2015,"15.29470"
14/04/2015,"15.23390"
15/04/2015,"15.38910"
16/04/2015,"15.24550"
17/04/2015,"15.31280"
20/04/2015,"15.39730"
21/04/2015,"15.38370"
22/04/2015,"15.45180"
23/04/2015,"15.35390"
24/04/2015,"15.38340"
27/04/2015,"15.32130"
28/04/2015,"15.22250"
29/04/2015,"15.20430"
30/04/2015,"15.37140"
04/05/2015,"15.49400"
05/05/2015,"15.32250"
06/05/2015,"15.28250"
07/05/2015,"15.33970"
08/05/2015,"15.14240"
11/05/2015,"15.26240"
12/05/2015,"15.32110"
13/05/2015,"15.22130"
14/05/2015,"15.12350"
15/05/2015,"15.02250"
18/05/2015,"15.12000"
19/05/2015,"15.20080"
20/05/2015,"15.21200"
21/05/2015,"15.23260"
22/05/2015,"15.29180"
25/05/2015,"15.26350"
26/05/2015,"15.32350"
27/05/2015,"15.35810"
28/05/2015,"15.37370"
29/05/2015,"15.38150"
01/06/2015,"15.48450"
02/06/2015,"15.41280"
03/06/2015,"15.48330"
04/06/2015,"15.53470"
05/06/2015,"15.69580"
08/06/2015,"15.67150"
09/06/2015,"15.56450"
10/06/2015,"15.47790"
11/06/2015,"15.44090"
12/06/2015,"15.41290"
15/06/2015,"15.43270"
16/06/2015,"15.41920"
17/06/2015,"15.41990"
18/06/2015,"15.28280"
19/06/2015,"15.32740"
22/06/2015,"15.30720"
23/06/2015,"15.40880"
24/06/2015,"15.45550"
25/06/2015,"15.48160"
26/06/2015,"15.56760"
29/06/2015,"15.65990"
30/06/2015,"15.68540"
01/07/2015,"15.78290"
